receipt_no,person_id,confidence,dep_gap_s,n_candidates,has_features,workstation
434,71094234-7079-4681-a589-01c816dab6e7,0.546,0.3,2,1,2
437,1931d8d0-8265-4a80-8341-b8d97f88cfec,1.000,4.7,1,1,2
440,c0b9037f-0655-4406-8ccf-f930d689c627,1.000,3.9,1,0,2
443,76a2db23-f772-4add-9142-cb999b3d413b,0.903,13.4,3,1,2
445,58224048-5ac3-46f3-94fb-827abfe379e7,0.431,162.7,2,1,2
447,04f90ce6-f93f-4cbd-b2bf-283af2c8c335,0.397,5.1,3,1,2
456,0eab2bd0-e5b4-4719-bebe-c4d09bb4bb78,0.632,9.1,3,0,2
457,cb0578bb-33cc-4540-91a4-14f6e8eda402,0.360,7.8,3,0,2
461,a512e434-87df-470a-950e-b94dff79361b,0.221,26.1,5,1,2
462,24bc0f56-aa46-4bcb-b228-592f5e7d4fe4,1.000,11.8,1,1,2
464,eabcc059-59ae-4163-9c2c-f0624ded0759,1.000,75.7,1,1,2
465,6dbdfb5d-d627-4605-8fb2-f6a47e7f7fc9,0.504,1.3,2,1,2
472,b0dacc4a-26ad-4019-99c0-7174e092ae27,0.268,9.3,4,1,2
475,fa325404-ccce-4c6f-88b5-17690d16645a,1.000,14.8,1,1,2
476,b29503f6-c38f-40c0-ac9d-e68d800c1df1,0.581,2.4,3,1,2
477,1ff3f70d-9a2f-4fd3-8479-f02db2f1d040,0.686,7.6,2,1,2
478,b684edcc-be72-4af8-a738-dbc1610ede82,1.000,5.0,1,1,2
481,cbe196f8-9e7a-47d6-9196-a7fdb8111efd,1.000,121.4,1,1,2
485,22e30348-9414-4edc-8dc7-16ec0a4a20c5,0.330,33.6,3,1,2
488,41b5d56a-0c53-4e20-8448-139d83f66ae2,0.504,2.6,4,1,2
491,cb622151-545d-4008-8676-7e5688d7182b,0.431,2.3,3,1,2
493,378edd40-9519-4e5d-91df-06b5f0d4cda7,0.388,25.5,3,1,2
494,25d6c668-1f4a-4f12-b864-b48f1a65d846,0.502,0.3,2,1,2
497,407bfcf0-6a88-45cb-8e8a-97b8f2d0afaa,0.348,1.3,4,0,2
499,91885532-27c7-453b-9548-02c0c809c8e2,0.242,217.4,2,1,2
500,3f355f69-3192-4889-9e9b-42c001de5842,0.516,21.7,2,1,2
504,6b50e02d-1914-4010-8866-84f542c6d7e1,0.353,13.4,4,1,2
507,98d4ac6e-57e2-417e-8e37-822fea91b00b,0.338,16.1,4,0,2
514,a5cd0075-8c40-4e75-93b7-35695cefe4e0,0.264,16.1,4,1,2
517,f73e2d89-813c-497a-9e95-c8e62337e644,0.339,11.5,3,0,2
518,4e7d2e79-3fad-4af3-9d87-fede95e49f52,0.624,1.9,2,1,2
521,3bfbd7da-3a27-4fba-b7b1-381eae0918dc,0.430,10.3,3,0,2
526,a2280873-4764-43ee-af3b-fa3fb7ea0749,0.500,74.6,4,0,2
527,d6011526-b3f5-41e6-923f-4c180e4cfc40,0.349,5.6,6,1,2
530,dd14cebf-dc8e-4013-8fbd-b28942c3f571,0.736,15.4,2,0,2
531,e123f578-128b-49a6-bd11-3ca5accaad2b,0.290,3.7,5,0,2
532,98b4f9b3-da57-4f65-a5ae-7c68e916af2f,0.335,4.8,3,1,2
535,ddf17063-e085-45f4-a468-f1107345257d,0.181,0.3,6,0,2
538,04b26459-b653-4b75-9d2d-b5cca7f674aa,0.322,0.7,6,1,2
541,69839637-fe50-403f-b40e-c109167bd2f0,0.261,0.6,5,0,2
544,daba39b7-23fd-41a1-b97d-1066e79279ac,1.000,97.3,1,1,2
547,3515e0f1-71ba-4d9b-a358-241eb0254726,0.983,25.5,2,1,2
548,20080f11-7ecf-4279-973d-f34d7ae85ef6,0.950,1.2,2,1,2
553,494029f9-9f6c-464f-b774-57d8a89fd83c,0.248,75.1,5,0,2
554,3d87f00c-2267-4318-9bd5-75a6b56f4492,0.378,41.0,3,1,2
555,f94378c7-7aa9-487b-8a12-16bdc6848e82,0.359,4.2,5,1,2
559,5bacc208-dc43-457e-a13c-6465e9a8725c,0.559,51.9,2,1,2
560,0692bf30-236d-4c2f-988e-a50c29567d95,0.520,7.0,2,1,2
561,729da036-d522-4787-8a78-1fd7a0088c87,0.342,25.9,4,1,2
562,222eef38-3ef4-4d9e-9365-f5a324f85beb,0.330,0.5,4,0,2
563,dac9273f-8091-4985-8200-27d12bdf3809,1.000,117.2,1,1,2
565,8226d2e0-d35d-4d35-a282-174f3d543d40,0.508,1.2,2,1,2
568,fd4c83dc-5b05-4dbd-84b3-0b4b91c20be1,0.341,1.3,3,0,2
572,bb7d1274-9f9a-4c60-988f-33fed42d220d,0.348,1.7,3,1,2
574,0f5caf30-bbf5-4432-b0a2-4232e2199870,0.509,6.6,2,1,2
575,1bedc1e3-8105-4760-bd7c-73050d85e001,0.496,136.0,2,1,2
577,b0ea76fc-3c22-4d8f-9716-dc18f9e6a319,0.287,1.4,5,1,2
578,bf86e4e7-09cd-4bba-93d5-b93d862c7a4c,0.404,3.3,3,1,2
579,448ab41f-aefb-4910-b6e4-f94d889515c3,1.000,11.7,1,1,2
590,553f16a0-8501-4dec-8c91-280501741ba3,0.569,1.9,3,0,2
591,5beacfc4-8a56-4b5c-9d63-690c79a7c0ac,0.844,10.1,2,1,2
592,8e075ba9-59c1-4a1e-84ba-6734c5547baa,0.838,14.7,2,1,2
593,7520264b-ce48-4365-b1b3-8172d22e374d,0.507,10.3,2,1,2
596,6d50c326-ee76-4b11-921b-5a7d75a6085c,0.185,3.8,6,0,2
599,e76e3670-5fb9-472e-ab36-5d7b059415d1,0.274,2.1,5,1,2
602,891d4072-2805-4b8d-8745-17e0bc43c42c,0.525,5.2,2,1,2
605,f411be57-cf9f-430a-b183-b09a05182f83,0.223,111.4,5,1,2
606,65bf51ea-e4e6-462e-812c-27ebdc7fa68f,0.776,2.2,2,1,2
607,16428594-c175-4d72-8a89-c28b19843e28,1.000,5.3,1,1,2
610,18ba5b87-4307-49c2-988c-7087408613b8,0.930,0.5,3,1,2
612,cd594d80-0507-4da0-9ef4-1f4c01102203,0.386,22.4,6,0,2
613,f11bca41-83e1-4f10-a753-ef05f7b26ff9,0.641,1.2,3,1,2
614,35de5fc6-ad93-4e78-ae5d-e71905132f18,0.386,5.4,3,1,2
616,d7daa58d-c490-4d11-a7b0-5f02e7796ed9,1.000,11.4,1,1,2
620,2fe29065-ca12-40ea-ac9d-cfc6268e8b5b,1.000,11.9,1,1,2
623,5e7126f3-9f72-4ad8-8097-3cc36ef6ffa7,1.000,253.9,1,1,2
624,1aafac53-96b0-4233-a52a-d23897cc59c2,0.476,13.2,3,0,2
625,08a6a216-34be-463e-84f6-890a372f3699,0.287,8.7,4,1,2
628,4d6c3d6c-a75d-48bf-b006-694c432c37c1,0.709,31.7,2,1,2
629,d880ddb7-5078-477f-bc86-92f51c5b6854,0.440,50.6,2,1,2
630,f909516e-8e84-45e8-b091-b1db7103974e,0.692,17.1,3,0,2
631,35be47f5-9845-445a-bedb-29a1aa494594,0.773,27.7,3,1,2
632,cd039925-ddfd-4e0f-b614-e44d7e4c8921,0.528,64.0,3,1,2
634,95b476f3-532d-4770-9093-650a681740b2,1.000,39.2,1,1,2
635,f2532e26-27f7-4283-9d67-bb1f65c85791,0.192,1.8,6,1,2
636,0d2db451-d714-4e23-954d-00ab1ce44ad5,0.225,8.1,5,0,2
637,44ada82e-38ef-4a24-8696-e79478019d02,0.441,14.5,3,1,2
638,c2f5deb2-1850-4d00-90da-a6d28be31621,0.542,78.6,4,0,2
639,6c7d6f35-405d-4410-a2b7-f56a2ffb3996,0.563,5.4,3,1,2
640,cd7efba5-79fe-49aa-85ce-b885d68d4d37,0.695,4.8,2,1,2
641,0a9e535e-d3c4-4b50-ae24-36d426ae7ec5,0.405,115.5,4,0,2
642,84a65b3f-7807-4286-826c-959b0905490a,0.288,72.5,5,0,2
643,1e98958f-05bf-448c-8628-40c0f1ea9c7c,0.233,8.4,6,1,2
644,e4dc3722-2963-4ade-84d3-52645cfcd67a,0.366,12.7,5,1,2
645,787caba4-3e58-4574-be61-74640f157dab,0.226,1.2,5,0,2
646,d17cf5d0-6f31-4b8c-9ac2-e27ad91e3fa3,0.763,16.1,3,0,2
647,f2883df4-fde0-4cc0-92a3-133c17ce7d0f,0.198,9.2,6,0,2
648,5c58afc7-38d7-484d-b71f-49acd72f203c,0.347,4.6,4,1,2
649,99d15616-6e72-4671-8506-a74ebe854bdc,0.258,11.5,4,1,2
650,c2cf0747-9510-48f0-9767-2f6e13a0664d,0.153,309.4,2,1,2
651,5578a12e-8e16-42dd-b2af-369cbe3c96b4,0.283,0.6,5,0,2
652,94a28fd1-ba4e-444a-8ce0-880a310ecdae,0.502,5.7,2,1,2
653,f7a17430-e6c6-4655-8031-f2995c26b645,1.000,8.3,1,1,2
655,12d5cd62-53fc-49d0-8e20-7677db57c490,0.306,3.3,4,1,2
656,71e93043-9b84-40cd-a06a-d9f0fcc4ed35,0.295,2.1,6,1,2
657,5136c17e-93e7-4a14-b9c7-f5791a4a583b,0.233,19.0,6,1,2
658,7f1e3c49-0450-4c43-ab77-fa93ad5c4870,0.493,38.5,2,1,2
659,a3b47e06-ef02-45cc-be54-e88135e9cef9,0.508,2.8,2,1,2
660,4b9a704f-e7fe-41ba-87af-90a7184300f1,0.302,7.5,4,0,2
661,d4be9b57-db64-4712-9506-33678c3eb8a2,0.074,406.9,3,0,2
663,84c610bc-e28a-4214-8009-5a7a5193fe62,1.000,1.0,1,1,2
664,7b3e40a9-f919-43eb-9abf-19dbc1d70af6,0.969,2.4,3,1,2
665,52696f07-4478-4e73-82bb-690a8ad52390,0.412,17.6,5,0,2
666,27491553-0c94-4299-a537-fc62bf706027,0.398,27.0,5,1,2
667,12408b29-c7a4-4f81-9a59-1be4254bdee9,0.296,5.9,5,1,2
668,b02815cc-3b8b-4b64-9053-aabc75507f96,0.253,7.5,5,1,2
669,48329961-b319-4be7-a694-4c721ff248c6,0.264,6.6,4,1,2
670,f2f83998-98a6-4512-a0a9-a0e041e1438c,1.000,36.5,1,1,2
671,8e17928d-6de9-44b9-88bd-b411730e9337,0.976,7.2,2,1,2
673,3dc51467-6e98-40d7-a5e5-1f4a4c1d0766,0.055,270.4,5,1,2
674,02bec242-122d-47bc-9eda-b2c8ac3bb57f,0.410,31.8,5,0,2
675,df379f40-98f1-4920-a823-ba2a8313c24d,0.424,5.0,5,1,2
676,27aa139e-93b9-43fb-a9aa-8ee2242d0061,0.336,20.4,3,1,2
677,4c3f1c18-963b-4aaa-a9a0-ec2ec9de836a,0.370,12.1,3,1,2
678,f8fd85c2-2835-4309-adba-f71a0f374d8c,0.503,2.5,3,1,2
679,8e40694e-7ee3-4c91-953c-b3c7cb28a8a9,0.447,21.4,3,0,2
680,fec63c4c-8eb1-4acf-92f4-13148c00af1d,0.269,8.0,4,1,2
681,a5935a59-576f-4fdc-9ffd-22fc5faac6ef,1.000,6.5,1,1,2
682,a101e11e-9600-46c3-9dae-144fc90419b5,1.000,7.5,1,1,2
683,60f8d628-cf83-4c04-9e53-8cdcbe21c27d,0.296,4.6,7,0,2
684,adb32290-5ccc-43f9-8140-0af5242c7d15,0.140,60.5,7,0,2
685,b16dc95c-82b2-48b5-be55-ebbe07678ec5,0.258,9.4,6,0,2
686,06a019b2-0fb3-4c83-b249-b4919cf66403,0.183,0.5,7,0,2
688,cab46206-a0a3-4416-a608-bd20eb2c63d0,0.409,6.7,5,0,2
689,74e4af84-0d7b-4c04-b6ba-8e275cc82e7b,0.302,40.7,4,1,2
691,121772e8-a707-4e01-82be-9b72e37b4633,0.505,19.5,2,1,2
692,4fe2a2ae-1033-4bd4-8fd9-b976918eeb79,0.508,63.9,2,1,2
693,ad02da65-0a7f-4e7b-bcb7-cdffb056168f,0.375,4.6,3,1,2
694,58e6c1e4-f970-47c9-a232-cabfd0d58ca6,0.409,24.7,5,1,2
697,ad8f6c49-21b8-469b-a521-0b132441695e,0.325,77.8,3,1,2
698,c294e5a9-9057-4e1d-bb5c-94f443551900,0.288,0.8,4,0,2
700,6dea29d1-15b8-49df-b5c1-0267e949ef95,0.703,6.2,3,1,2
